_id,beachId,beachName,siteName,collectionDate,eColi,comments,geometry
15,1,Marie Curtis Park East Beach,32W,2024-09-07,,None,"{""coordinates"": [[-79.54056, 43.58511]], ""type"": ""MultiPoint""}"
16,1,Marie Curtis Park East Beach,31W,2024-09-07,,None,"{""coordinates"": [[-79.54039, 43.585304]], ""type"": ""MultiPoint""}"
17,1,Marie Curtis Park East Beach,30W,2024-09-07,,None,"{""coordinates"": [[-79.540054, 43.58561]], ""type"": ""MultiPoint""}"
18,2,Sunnyside Beach,23W,2024-09-07,,None,"{""coordinates"": [[-79.461525, 43.63625]], ""type"": ""MultiPoint""}"
19,2,Sunnyside Beach,18W,2024-09-07,,None,"{""coordinates"": [[-79.45267, 43.636612]], ""type"": ""MultiPoint""}"
20,2,Sunnyside Beach,17W,2024-09-07,50,None,"{""coordinates"": [[-79.451, 43.63639]], ""type"": ""MultiPoint""}"
21,2,Sunnyside Beach,20W,2024-09-07,50,None,"{""coordinates"": [[-79.45564, 43.637165]], ""type"": ""MultiPoint""}"
22,2,Sunnyside Beach,21W,2024-09-07,70,None,"{""coordinates"": [[-79.45753, 43.63711]], ""type"": ""MultiPoint""}"
23,2,Sunnyside Beach,19W,2024-09-07,100,None,"{""coordinates"": [[-79.45411, 43.63711]], ""type"": ""MultiPoint""}"
24,2,Sunnyside Beach,22W,2024-09-07,40,None,"{""coordinates"": [[-79.46005, 43.636723]], ""type"": ""MultiPoint""}"
25,1,Marie Curtis Park East Beach,29W,2024-09-06,,None,"{""coordinates"": [[-79.539696, 43.58592]], ""type"": ""MultiPoint""}"
26,1,Marie Curtis Park East Beach,33W,2024-09-06,,None,"{""coordinates"": [[-79.540886, 43.58486]], ""type"": ""MultiPoint""}"
27,1,Marie Curtis Park East Beach,32W,2024-09-06,,None,"{""coordinates"": [[-79.54056, 43.58511]], ""type"": ""MultiPoint""}"
28,1,Marie Curtis Park East Beach,31W,2024-09-06,,None,"{""coordinates"": [[-79.54039, 43.585304]], ""type"": ""MultiPoint""}"
29,1,Marie Curtis Park East Beach,30W,2024-09-06,,None,"{""coordinates"": [[-79.540054, 43.58561]], ""type"": ""MultiPoint""}"
30,2,Sunnyside Beach,23W,2024-09-06,,No data,"{""coordinates"": [[-79.461525, 43.63625]], ""type"": ""MultiPoint""}"
31,2,Sunnyside Beach,18W,2024-09-06,460,None,"{""coordinates"": [[-79.45267, 43.636612]], ""type"": ""MultiPoint""}"
32,2,Sunnyside Beach,17W,2024-09-06,530,None,"{""coordinates"": [[-79.451, 43.63639]], ""type"": ""MultiPoint""}"
33,2,Sunnyside Beach,20W,2024-09-06,170,None,"{""coordinates"": [[-79.45564, 43.637165]], ""type"": ""MultiPoint""}"
34,2,Sunnyside Beach,21W,2024-09-06,610,None,"{""coordinates"": [[-79.45753, 43.63711]], ""type"": ""MultiPoint""}"
35,2,Sunnyside Beach,19W,2024-09-06,70,None,"{""coordinates"": [[-79.45411, 43.63711]], ""type"": ""MultiPoint""}"
36,2,Sunnyside Beach,22W,2024-09-06,190,None,"{""coordinates"": [[-79.46005, 43.636723]], ""type"": ""MultiPoint""}"
37,1,Marie Curtis Park East Beach,29W,2024-09-05,,None,"{""coordinates"": [[-79.539696, 43.58592]], ""type"": ""MultiPoint""}"
38,1,Marie Curtis Park East Beach,33W,2024-09-05,,None,"{""coordinates"": [[-79.540886, 43.58486]], ""type"": ""MultiPoint""}"
39,1,Marie Curtis Park East Beach,32W,2024-09-05,,None,"{""coordinates"": [[-79.54056, 43.58511]], ""type"": ""MultiPoint""}"
40,1,Marie Curtis Park East Beach,31W,2024-09-05,,None,"{""coordinates"": [[-79.54039, 43.585304]], ""type"": ""MultiPoint""}"
41,1,Marie Curtis Park East Beach,30W,2024-09-05,,None,"{""coordinates"": [[-79.540054, 43.58561]], ""type"": ""MultiPoint""}"
42,2,Sunnyside Beach,23W,2024-09-05,,No data,"{""coordinates"": [[-79.461525, 43.63625]], ""type"": ""MultiPoint""}"
43,2,Sunnyside Beach,18W,2024-09-05,10,None,"{""coordinates"": [[-79.45267, 43.636612]], ""type"": ""MultiPoint""}"
44,2,Sunnyside Beach,17W,2024-09-05,10,None,"{""coordinates"": [[-79.451, 43.63639]], ""type"": ""MultiPoint""}"
45,2,Sunnyside Beach,20W,2024-09-05,80,None,"{""coordinates"": [[-79.45564, 43.637165]], ""type"": ""MultiPoint""}"
46,2,Sunnyside Beach,21W,2024-09-05,210,None,"{""coordinates"": [[-79.45753, 43.63711]], ""type"": ""MultiPoint""}"
47,2,Sunnyside Beach,19W,2024-09-05,10,None,"{""coordinates"": [[-79.45411, 43.63711]], ""type"": ""MultiPoint""}"
48,2,Sunnyside Beach,22W,2024-09-05,10,<,"{""coordinates"": [[-79.46005, 43.636723]], ""type"": ""MultiPoint""}"
49,1,Marie Curtis Park East Beach,29W,2024-09-04,,None,"{""coordinates"": [[-79.539696, 43.58592]], ""type"": ""MultiPoint""}"
50,1,Marie Curtis Park East Beach,33W,2024-09-04,,None,"{""coordinates"": [[-79.540886, 43.58486]], ""type"": ""MultiPoint""}"
51,1,Marie Curtis Park East Beach,32W,2024-09-04,,None,"{""coordinates"": [[-79.54056, 43.58511]], ""type"": ""MultiPoint""}"
52,1,Marie Curtis Park East Beach,31W,2024-09-04,,None,"{""coordinates"": [[-79.54039, 43.585304]], ""type"": ""MultiPoint""}"
53,1,Marie Curtis Park East Beach,30W,2024-09-04,,None,"{""coordinates"": [[-79.540054, 43.58561]], ""type"": ""MultiPoint""}"
54,2,Sunnyside Beach,23W,2024-09-04,,No data,"{""coordinates"": [[-79.461525, 43.63625]], ""type"": ""MultiPoint""}"
55,2,Sunnyside Beach,18W,2024-09-04,750,None,"{""coordinates"": [[-79.45267, 43.636612]], ""type"": ""MultiPoint""}"
56,2,Sunnyside Beach,17W,2024-09-04,700,None,"{""coordinates"": [[-79.451, 43.63639]], ""type"": ""MultiPoint""}"
57,2,Sunnyside Beach,20W,2024-09-04,780,None,"{""coordinates"": [[-79.45564, 43.637165]], ""type"": ""MultiPoint""}"
58,2,Sunnyside Beach,21W,2024-09-04,770,None,"{""coordinates"": [[-79.45753, 43.63711]], ""type"": ""MultiPoint""}"
59,2,Sunnyside Beach,19W,2024-09-04,780,None,"{""coordinates"": [[-79.45411, 43.63711]], ""type"": ""MultiPoint""}"
60,2,Sunnyside Beach,22W,2024-09-04,750,None,"{""coordinates"": [[-79.46005, 43.636723]], ""type"": ""MultiPoint""}"
61,1,Marie Curtis Park East Beach,29W,2024-09-03,,None,"{""coordinates"": [[-79.539696, 43.58592]], ""type"": ""MultiPoint""}"
62,1,Marie Curtis Park East Beach,33W,2024-09-03,,None,"{""coordinates"": [[-79.540886, 43.58486]], ""type"": ""MultiPoint""}"
63,1,Marie Curtis Park East Beach,32W,2024-09-03,,None,"{""coordinates"": [[-79.54056, 43.58511]], ""type"": ""MultiPoint""}"
64,1,Marie Curtis Park East Beach,31W,2024-09-03,,None,"{""coordinates"": [[-79.54039, 43.585304]], ""type"": ""MultiPoint""}"
65,1,Marie Curtis Park East Beach,30W,2024-09-03,,None,"{""coordinates"": [[-79.540054, 43.58561]], ""type"": ""MultiPoint""}"
66,2,Sunnyside Beach,23W,2024-09-03,,No data,"{""coordinates"": [[-79.461525, 43.63625]], ""type"": ""MultiPoint""}"
67,2,Sunnyside Beach,18W,2024-09-03,1000,>,"{""coordinates"": [[-79.45267, 43.636612]], ""type"": ""MultiPoint""}"
68,2,Sunnyside Beach,17W,2024-09-03,1000,>,"{""coordinates"": [[-79.451, 43.63639]], ""type"": ""MultiPoint""}"
69,2,Sunnyside Beach,20W,2024-09-03,1000,>,"{""coordinates"": [[-79.45564, 43.637165]], ""type"": ""MultiPoint""}"
70,2,Sunnyside Beach,21W,2024-09-03,1000,>,"{""coordinates"": [[-79.45753, 43.63711]], ""type"": ""MultiPoint""}"
71,2,Sunnyside Beach,19W,2024-09-03,1000,>,"{""coordinates"": [[-79.45411, 43.63711]], ""type"": ""MultiPoint""}"
72,2,Sunnyside Beach,22W,2024-09-03,1000,>,"{""coordinates"": [[-79.46005, 43.636723]], ""type"": ""MultiPoint""}"
73,1,Marie Curtis Park East Beach,29W,2024-09-02,110,None,"{""coordinates"": [[-79.539696, 43.58592]], ""type"": ""MultiPoint""}"
74,1,Marie Curtis Park East Beach,33W,2024-09-02,110,None,"{""coordinates"": [[-79.540886, 43.58486]], ""type"": ""MultiPoint""}"
75,1,Marie Curtis Park East Beach,32W,2024-09-02,60,None,"{""coordinates"": [[-79.54056, 43.58511]], ""type"": ""MultiPoint""}"
76,1,Marie Curtis Park East Beach,31W,2024-09-02,100,None,"{""coordinates"": [[-79.54039, 43.585304]], ""type"": ""MultiPoint""}"
77,1,Marie Curtis Park East Beach,30W,2024-09-02,70,None,"{""coordinates"": [[-79.540054, 43.58561]], ""type"": ""MultiPoint""}"
78,2,Sunnyside Beach,23W,2024-09-02,,No data,"{""coordinates"": [[-79.461525, 43.63625]], ""type"": ""MultiPoint""}"
79,2,Sunnyside Beach,18W,2024-09-02,440,None,"{""coordinates"": [[-79.45267, 43.636612]], ""type"": ""MultiPoint""}"
80,2,Sunnyside Beach,17W,2024-09-02,340,None,"{""coordinates"": [[-79.451, 43.63639]], ""type"": ""MultiPoint""}"
81,2,Sunnyside Beach,20W,2024-09-02,10,None,"{""coordinates"": [[-79.45564, 43.637165]], ""type"": ""MultiPoint""}"
82,2,Sunnyside Beach,21W,2024-09-02,10,<,"{""coordinates"": [[-79.45753, 43.63711]], ""type"": ""MultiPoint""}"
83,2,Sunnyside Beach,19W,2024-09-02,60,None,"{""coordinates"": [[-79.45411, 43.63711]], ""type"": ""MultiPoint""}"
84,2,Sunnyside Beach,22W,2024-09-02,30,None,"{""coordinates"": [[-79.46005, 43.636723]], ""type"": ""MultiPoint""}"
85,1,Marie Curtis Park East Beach,29W,2024-09-01,230,None,"{""coordinates"": [[-79.539696, 43.58592]], ""type"": ""MultiPoint""}"
86,1,Marie Curtis Park East Beach,33W,2024-09-01,220,None,"{""coordinates"": [[-79.540886, 43.58486]], ""type"": ""MultiPoint""}"
87,1,Marie Curtis Park East Beach,32W,2024-09-01,240,None,"{""coordinates"": [[-79.54056, 43.58511]], ""type"": ""MultiPoint""}"
88,1,Marie Curtis Park East Beach,31W,2024-09-01,200,None,"{""coordinates"": [[-79.54039, 43.585304]], ""type"": ""MultiPoint""}"
89,1,Marie Curtis Park East Beach,30W,2024-09-01,200,None,"{""coordinates"": [[-79.540054, 43.58561]], ""type"": ""MultiPoint""}"
90,2,Sunnyside Beach,23W,2024-09-01,,None,"{""coordinates"": [[-79.461525, 43.63625]], ""type"": ""MultiPoint""}"
91,2,Sunnyside Beach,18W,2024-09-01,910,None,"{""coordinates"": [[-79.45267, 43.636612]], ""type"": ""MultiPoint""}"
92,2,Sunnyside Beach,17W,2024-09-01,210,None,"{""coordinates"": [[-79.451, 43.63639]], ""type"": ""MultiPoint""}"
93,2,Sunnyside Beach,20W,2024-09-01,170,None,"{""coordinates"": [[-79.45564, 43.637165]], ""type"": ""MultiPoint""}"
94,2,Sunnyside Beach,21W,2024-09-01,80,None,"{""coordinates"": [[-79.45753, 43.63711]], ""type"": ""MultiPoint""}"
95,2,Sunnyside Beach,19W,2024-09-01,400,None,"{""coordinates"": [[-79.45411, 43.63711]], ""type"": ""MultiPoint""}"
96,2,Sunnyside Beach,22W,2024-09-01,360,None,"{""coordinates"": [[-79.46005, 43.636723]], ""type"": ""MultiPoint""}"
97,1,Marie Curtis Park East Beach,29W,2024-08-31,50,None,"{""coordinates"": [[-79.539696, 43.58592]], ""type"": ""MultiPoint""}"
98,1,Marie Curtis Park East Beach,33W,2024-08-31,870,None,"{""coordinates"": [[-79.540886, 43.58486]], ""type"": ""MultiPoint""}"
99,1,Marie Curtis Park East Beach,32W,2024-08-31,1010,None,"{""coordinates"": [[-79.54056, 43.58511]], ""type"": ""MultiPoint""}"
100,1,Marie Curtis Park East Beach,31W,2024-08-31,250,None,"{""coordinates"": [[-79.54039, 43.585304]], ""type"": ""MultiPoint""}"
101,1,Marie Curtis Park East Beach,30W,2024-08-31,150,None,"{""coordinates"": [[-79.540054, 43.58561]], ""type"": ""MultiPoint""}"
102,2,Sunnyside Beach,23W,2024-08-31,,None,"{""coordinates"": [[-79.461525, 43.63625]], ""type"": ""MultiPoint""}"
103,2,Sunnyside Beach,18W,2024-08-31,290,None,"{""coordinates"": [[-79.45267, 43.636612]], ""type"": ""MultiPoint""}"
104,2,Sunnyside Beach,17W,2024-08-31,350,None,"{""coordinates"": [[-79.451, 43.63639]], ""type"": ""MultiPoint""}"
105,2,Sunnyside Beach,20W,2024-08-31,110,None,"{""coordinates"": [[-79.45564, 43.637165]], ""type"": ""MultiPoint""}"
106,2,Sunnyside Beach,21W,2024-08-31,400,None,"{""coordinates"": [[-79.45753, 43.63711]], ""type"": ""MultiPoint""}"
107,2,Sunnyside Beach,19W,2024-08-31,200,None,"{""coordinates"": [[-79.45411, 43.63711]], ""type"": ""MultiPoint""}"
108,2,Sunnyside Beach,22W,2024-08-31,330,None,"{""coordinates"": [[-79.46005, 43.636723]], ""type"": ""MultiPoint""}"
109,1,Marie Curtis Park East Beach,29W,2024-08-30,30,None,"{""coordinates"": [[-79.539696, 43.58592]], ""type"": ""MultiPoint""}"
110,1,Marie Curtis Park East Beach,33W,2024-08-30,30,None,"{""coordinates"": [[-79.540886, 43.58486]], ""type"": ""MultiPoint""}"
111,1,Marie Curtis Park East Beach,32W,2024-08-30,40,None,"{""coordinates"": [[-79.54056, 43.58511]], ""type"": ""MultiPoint""}"
112,1,Marie Curtis Park East Beach,31W,2024-08-30,40,None,"{""coordinates"": [[-79.54039, 43.585304]], ""type"": ""MultiPoint""}"
113,1,Marie Curtis Park East Beach,30W,2024-08-30,60,None,"{""coordinates"": [[-79.540054, 43.58561]], ""type"": ""MultiPoint""}"
114,2,Sunnyside Beach,23W,2024-08-30,,No data,"{""coordinates"": [[-79.461525, 43.63625]], ""type"": ""MultiPoint""}"
115,2,Sunnyside Beach,18W,2024-08-30,70,None,"{""coordinates"": [[-79.45267, 43.636612]], ""type"": ""MultiPoint""}"
116,2,Sunnyside Beach,17W,2024-08-30,20,None,"{""coordinates"": [[-79.451, 43.63639]], ""type"": ""MultiPoint""}"
117,2,Sunnyside Beach,20W,2024-08-30,30,None,"{""coordinates"": [[-79.45564, 43.637165]], ""type"": ""MultiPoint""}"
118,2,Sunnyside Beach,21W,2024-08-30,110,None,"{""coordinates"": [[-79.45753, 43.63711]], ""type"": ""MultiPoint""}"
119,2,Sunnyside Beach,19W,2024-08-30,20,None,"{""coordinates"": [[-79.45411, 43.63711]], ""type"": ""MultiPoint""}"
120,2,Sunnyside Beach,22W,2024-08-30,30,None,"{""coordinates"": [[-79.46005, 43.636723]], ""type"": ""MultiPoint""}"
121,1,Marie Curtis Park East Beach,29W,2024-08-29,50,None,"{""coordinates"": [[-79.539696, 43.58592]], ""type"": ""MultiPoint""}"
122,1,Marie Curtis Park East Beach,33W,2024-08-29,100,None,"{""coordinates"": [[-79.540886, 43.58486]], ""type"": ""MultiPoint""}"
123,1,Marie Curtis Park East Beach,32W,2024-08-29,110,None,"{""coordinates"": [[-79.54056, 43.58511]], ""type"": ""MultiPoint""}"
124,1,Marie Curtis Park East Beach,31W,2024-08-29,30,None,"{""coordinates"": [[-79.54039, 43.585304]], ""type"": ""MultiPoint""}"
125,1,Marie Curtis Park East Beach,30W,2024-08-29,100,None,"{""coordinates"": [[-79.540054, 43.58561]], ""type"": ""MultiPoint""}"
126,2,Sunnyside Beach,23W,2024-08-29,,No data,"{""coordinates"": [[-79.461525, 43.63625]], ""type"": ""MultiPoint""}"
127,2,Sunnyside Beach,18W,2024-08-29,120,None,"{""coordinates"": [[-79.45267, 43.636612]], ""type"": ""MultiPoint""}"
128,2,Sunnyside Beach,17W,2024-08-29,60,None,"{""coordinates"": [[-79.451, 43.63639]], ""type"": ""MultiPoint""}"
129,2,Sunnyside Beach,20W,2024-08-29,90,None,"{""coordinates"": [[-79.45564, 43.637165]], ""type"": ""MultiPoint""}"
130,2,Sunnyside Beach,21W,2024-08-29,290,None,"{""coordinates"": [[-79.45753, 43.63711]], ""type"": ""MultiPoint""}"
131,2,Sunnyside Beach,19W,2024-08-29,40,None,"{""coordinates"": [[-79.45411, 43.63711]], ""type"": ""MultiPoint""}"
132,2,Sunnyside Beach,22W,2024-08-29,40,None,"{""coordinates"": [[-79.46005, 43.636723]], ""type"": ""MultiPoint""}"
133,1,Marie Curtis Park East Beach,29W,2024-08-28,10,<,"{""coordinates"": [[-79.539696, 43.58592]], ""type"": ""MultiPoint""}"
134,1,Marie Curtis Park East Beach,33W,2024-08-28,40,None,"{""coordinates"": [[-79.540886, 43.58486]], ""type"": ""MultiPoint""}"
135,1,Marie Curtis Park East Beach,32W,2024-08-28,50,None,"{""coordinates"": [[-79.54056, 43.58511]], ""type"": ""MultiPoint""}"
136,1,Marie Curtis Park East Beach,31W,2024-08-28,50,None,"{""coordinates"": [[-79.54039, 43.585304]], ""type"": ""MultiPoint""}"
137,1,Marie Curtis Park East Beach,30W,2024-08-28,10,None,"{""coordinates"": [[-79.540054, 43.58561]], ""type"": ""MultiPoint""}"
138,2,Sunnyside Beach,23W,2024-08-28,,No data,"{""coordinates"": [[-79.461525, 43.63625]], ""type"": ""MultiPoint""}"
139,2,Sunnyside Beach,18W,2024-08-28,490,None,"{""coordinates"": [[-79.45267, 43.636612]], ""type"": ""MultiPoint""}"
140,2,Sunnyside Beach,17W,2024-08-28,600,None,"{""coordinates"": [[-79.451, 43.63639]], ""type"": ""MultiPoint""}"
141,2,Sunnyside Beach,20W,2024-08-28,260,None,"{""coordinates"": [[-79.45564, 43.637165]], ""type"": ""MultiPoint""}"
142,2,Sunnyside Beach,21W,2024-08-28,320,None,"{""coordinates"": [[-79.45753, 43.63711]], ""type"": ""MultiPoint""}"
143,2,Sunnyside Beach,19W,2024-08-28,320,None,"{""coordinates"": [[-79.45411, 43.63711]], ""type"": ""MultiPoint""}"
144,2,Sunnyside Beach,22W,2024-08-28,280,None,"{""coordinates"": [[-79.46005, 43.636723]], ""type"": ""MultiPoint""}"
145,1,Marie Curtis Park East Beach,29W,2024-08-27,200,None,"{""coordinates"": [[-79.539696, 43.58592]], ""type"": ""MultiPoint""}"
146,1,Marie Curtis Park East Beach,33W,2024-08-27,100,None,"{""coordinates"": [[-79.540886, 43.58486]], ""type"": ""MultiPoint""}"
147,1,Marie Curtis Park East Beach,32W,2024-08-27,110,None,"{""coordinates"": [[-79.54056, 43.58511]], ""type"": ""MultiPoint""}"
148,1,Marie Curtis Park East Beach,31W,2024-08-27,200,None,"{""coordinates"": [[-79.54039, 43.585304]], ""type"": ""MultiPoint""}"
149,1,Marie Curtis Park East Beach,30W,2024-08-27,230,None,"{""coordinates"": [[-79.540054, 43.58561]], ""type"": ""MultiPoint""}"
150,2,Sunnyside Beach,23W,2024-08-27,,No data,"{""coordinates"": [[-79.461525, 43.63625]], ""type"": ""MultiPoint""}"
151,2,Sunnyside Beach,18W,2024-08-27,870,None,"{""coordinates"": [[-79.45267, 43.636612]], ""type"": ""MultiPoint""}"
152,2,Sunnyside Beach,17W,2024-08-27,80,None,"{""coordinates"": [[-79.451, 43.63639]], ""type"": ""MultiPoint""}"
153,2,Sunnyside Beach,20W,2024-08-27,10,<,"{""coordinates"": [[-79.45564, 43.637165]], ""type"": ""MultiPoint""}"
154,2,Sunnyside Beach,21W,2024-08-27,150,None,"{""coordinates"": [[-79.45753, 43.63711]], ""type"": ""MultiPoint""}"
155,2,Sunnyside Beach,19W,2024-08-27,150,None,"{""coordinates"": [[-79.45411, 43.63711]], ""type"": ""MultiPoint""}"
156,2,Sunnyside Beach,22W,2024-08-27,440,None,"{""coordinates"": [[-79.46005, 43.636723]], ""type"": ""MultiPoint""}"
157,1,Marie Curtis Park East Beach,29W,2024-08-26,40,None,"{""coordinates"": [[-79.539696, 43.58592]], ""type"": ""MultiPoint""}"
158,1,Marie Curtis Park East Beach,33W,2024-08-26,30,None,"{""coordinates"": [[-79.540886, 43.58486]], ""type"": ""MultiPoint""}"
159,1,Marie Curtis Park East Beach,32W,2024-08-26,50,None,"{""coordinates"": [[-79.54056, 43.58511]], ""type"": ""MultiPoint""}"
160,1,Marie Curtis Park East Beach,31W,2024-08-26,20,None,"{""coordinates"": [[-79.54039, 43.585304]], ""type"": ""MultiPoint""}"
161,1,Marie Curtis Park East Beach,30W,2024-08-26,30,None,"{""coordinates"": [[-79.540054, 43.58561]], ""type"": ""MultiPoint""}"
162,2,Sunnyside Beach,23W,2024-08-26,,No data,"{""coordinates"": [[-79.461525, 43.63625]], ""type"": ""MultiPoint""}"
163,2,Sunnyside Beach,18W,2024-08-26,40,None,"{""coordinates"": [[-79.45267, 43.636612]], ""type"": ""MultiPoint""}"
164,2,Sunnyside Beach,17W,2024-08-26,30,None,"{""coordinates"": [[-79.451, 43.63639]], ""type"": ""MultiPoint""}"
165,2,Sunnyside Beach,20W,2024-08-26,20,None,"{""coordinates"": [[-79.45564, 43.637165]], ""type"": ""MultiPoint""}"
166,2,Sunnyside Beach,21W,2024-08-26,30,None,"{""coordinates"": [[-79.45753, 43.63711]], ""type"": ""MultiPoint""}"
167,2,Sunnyside Beach,19W,2024-08-26,10,<,"{""coordinates"": [[-79.45411, 43.63711]], ""type"": ""MultiPoint""}"
168,2,Sunnyside Beach,22W,2024-08-26,10,None,"{""coordinates"": [[-79.46005, 43.636723]], ""type"": ""MultiPoint""}"
169,1,Marie Curtis Park East Beach,29W,2024-08-25,50,None,"{""coordinates"": [[-79.539696, 43.58592]], ""type"": ""MultiPoint""}"
170,1,Marie Curtis Park East Beach,33W,2024-08-25,30,None,"{""coordinates"": [[-79.540886, 43.58486]], ""type"": ""MultiPoint""}"
171,1,Marie Curtis Park East Beach,32W,2024-08-25,60,None,"{""coordinates"": [[-79.54056, 43.58511]], ""type"": ""MultiPoint""}"
172,1,Marie Curtis Park East Beach,31W,2024-08-25,40,None,"{""coordinates"": [[-79.54039, 43.585304]], ""type"": ""MultiPoint""}"
173,1,Marie Curtis Park East Beach,30W,2024-08-25,20,None,"{""coordinates"": [[-79.540054, 43.58561]], ""type"": ""MultiPoint""}"
174,2,Sunnyside Beach,23W,2024-08-25,,None,"{""coordinates"": [[-79.461525, 43.63625]], ""type"": ""MultiPoint""}"
175,2,Sunnyside Beach,18W,2024-08-25,10,None,"{""coordinates"": [[-79.45267, 43.636612]], ""type"": ""MultiPoint""}"
176,2,Sunnyside Beach,17W,2024-08-25,40,None,"{""coordinates"": [[-79.451, 43.63639]], ""type"": ""MultiPoint""}"
177,2,Sunnyside Beach,20W,2024-08-25,40,None,"{""coordinates"": [[-79.45564, 43.637165]], ""type"": ""MultiPoint""}"
178,2,Sunnyside Beach,21W,2024-08-25,20,None,"{""coordinates"": [[-79.45753, 43.63711]], ""type"": ""MultiPoint""}"
179,2,Sunnyside Beach,19W,2024-08-25,50,None,"{""coordinates"": [[-79.45411, 43.63711]], ""type"": ""MultiPoint""}"
180,2,Sunnyside Beach,22W,2024-08-25,80,None,"{""coordinates"": [[-79.46005, 43.636723]], ""type"": ""MultiPoint""}"
181,1,Marie Curtis Park East Beach,29W,2024-08-24,200,None,"{""coordinates"": [[-79.539696, 43.58592]], ""type"": ""MultiPoint""}"
182,1,Marie Curtis Park East Beach,33W,2024-08-24,130,None,"{""coordinates"": [[-79.540886, 43.58486]], ""type"": ""MultiPoint""}"
183,1,Marie Curtis Park East Beach,32W,2024-08-24,100,None,"{""coordinates"": [[-79.54056, 43.58511]], ""type"": ""MultiPoint""}"
184,1,Marie Curtis Park East Beach,31W,2024-08-24,140,None,"{""coordinates"": [[-79.54039, 43.585304]], ""type"": ""MultiPoint""}"
185,1,Marie Curtis Park East Beach,30W,2024-08-24,140,None,"{""coordinates"": [[-79.540054, 43.58561]], ""type"": ""MultiPoint""}"
186,2,Sunnyside Beach,23W,2024-08-24,,None,"{""coordinates"": [[-79.461525, 43.63625]], ""type"": ""MultiPoint""}"
187,2,Sunnyside Beach,18W,2024-08-24,80,None,"{""coordinates"": [[-79.45267, 43.636612]], ""type"": ""MultiPoint""}"
188,2,Sunnyside Beach,17W,2024-08-24,60,None,"{""coordinates"": [[-79.451, 43.63639]], ""type"": ""MultiPoint""}"
189,2,Sunnyside Beach,20W,2024-08-24,400,None,"{""coordinates"": [[-79.45564, 43.637165]], ""type"": ""MultiPoint""}"
190,2,Sunnyside Beach,21W,2024-08-24,210,None,"{""coordinates"": [[-79.45753, 43.63711]], ""type"": ""MultiPoint""}"
191,2,Sunnyside Beach,19W,2024-08-24,280,None,"{""coordinates"": [[-79.45411, 43.63711]], ""type"": ""MultiPoint""}"
192,2,Sunnyside Beach,22W,2024-08-24,180,None,"{""coordinates"": [[-79.46005, 43.636723]], ""type"": ""MultiPoint""}"
193,1,Marie Curtis Park East Beach,29W,2024-08-23,40,None,"{""coordinates"": [[-79.539696, 43.58592]], ""type"": ""MultiPoint""}"
194,1,Marie Curtis Park East Beach,33W,2024-08-23,50,None,"{""coordinates"": [[-79.540886, 43.58486]], ""type"": ""MultiPoint""}"
195,1,Marie Curtis Park East Beach,32W,2024-08-23,20,None,"{""coordinates"": [[-79.54056, 43.58511]], ""type"": ""MultiPoint""}"
196,1,Marie Curtis Park East Beach,31W,2024-08-23,110,None,"{""coordinates"": [[-79.54039, 43.585304]], ""type"": ""MultiPoint""}"
197,1,Marie Curtis Park East Beach,30W,2024-08-23,40,None,"{""coordinates"": [[-79.540054, 43.58561]], ""type"": ""MultiPoint""}"
